YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,100m,load_factor
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,0.0,0.0
2015,1,8,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.53,0.8460945028756337
2015,1,8,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.45,0.8347730499248226
2015,1,8,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.15,0.7907474162463002
2015,1,8,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.78,0.7360037009732044
2015,1,8,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.67,0.7199080821907339
2015,1,8,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.39,0.6789657291530903
2015,1,8,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.02,0.624070146821184
2015,1,8,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.95,0.6134804670590198
2015,1,8,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.29,0.6642661575801306
2015,1,9,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.92,0.7565849361071382
2015,1,9,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.17,0.9223510245007689
2015,1,9,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.36,0.9886221162126536
2015,1,9,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.46,0.9912821551136553
2015,1,9,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.3,0.9868554349988455
2015,1,9,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.27,1.0
2015,1,9,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.94,1.0
2015,1,9,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,16.32,1.0
2015,1,9,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.84,0.9998886135524679
2015,1,9,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.58,1.0
2015,1,9,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.66,1.0
2015,1,9,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.03,0.9999387460540584
2015,1,9,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.06,0.9998839468068388
2015,1,9,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.13,0.9997797497715265
2015,1,9,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.75,1.0
2015,1,9,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.7,1.0
2015,1,9,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.65,1.0
2015,1,9,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.57,1.0
2015,1,9,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.29,0.9996509358584532
2015,1,9,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,16.54,1.0
2015,1,9,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,17.16,0.9999816647429746
2015,1,9,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,17.35,0.9999738532779752
2015,1,9,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,17.12,0.9999851159167003
2015,1,9,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,16.68,1.0
2015,1,10,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,16.22,1.0
2015,1,10,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.31,0.9996441134982446
2015,1,10,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.07,1.0
2015,1,10,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.4,0.9897283028700701
2015,1,10,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.89,0.9711229588238101
2015,1,10,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.12,0.9175860463335096
2015,1,10,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,10.78,0.7360037009732044
2015,1,10,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.75,0.5828661118258915
2015,1,10,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.23,0.5025974782192949
2015,1,10,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,8.29,0.3669027246513967
